Entity Display Name,Entity Logical Name,Logical Name,Schema Name,Display Name,Attribute Type,Description,Custom Attribute,Type,Required Level,Additional data,,
Business Travel,msdyn_businesstravel,msdyn_distanceunitname,msdyn_distanceunitName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_evidence,msdyn_evidence,Evidence,Text,"Optional field where evidence can be linked to an entity or attribute, if required.",True,Simple,None,"Format: Text
Max length: 250",,
Business Travel,msdyn_businesstravel,msdyn_facilityid,msdyn_facilityid,Facility,Lookup,Unique identifier for Facility associated with business travel.,True,Simple,None,"Targets:
msdyn_facility",,
Business Travel,msdyn_businesstravel,msdyn_facilityidname,msdyn_facilityidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 255",,
Business Travel,msdyn_businesstravel,msdyn_fuelquantity,msdyn_fuelquantity,Fuel quantity,Decimal,Unique identifier of the fuel consumption data associated with combustion or supply chain fuel usage.,True,Simple,None,"Minimum value: -100000000000
Maximum value: 100000000000
Precision: 10",,
Business Travel,msdyn_businesstravel,msdyn_fuelquantityunit,msdyn_fuelquantityunit,Fuel quantity unit,Lookup,Unique identifier of the unit associated with fuel data.,True,Simple,None,"Targets:
msdyn_unit",,
Business Travel,msdyn_businesstravel,msdyn_fuelquantityunitname,msdyn_fuelquantityunitName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_fueltypeid,msdyn_fueltypeid,Fuel type,Lookup,Unique identifier of the fuel type associated with combustion or supply chain fuel usage.,True,Simple,None,"Targets:
msdyn_fueltype",,
Business Travel,msdyn_businesstravel,msdyn_fueltypeidname,msdyn_fueltypeidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_industrialprocesstypeid,msdyn_industrialprocesstypeid,Industrial process type,Lookup,Type of industrial process used to track and associate with activity data.,True,Simple,None,"Targets:
msdyn_industrialprocesstype",,
Business Travel,msdyn_businesstravel,msdyn_industrialprocesstypeidname,msdyn_industrialprocesstypeidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 200",,
Business Travel,msdyn_businesstravel,msdyn_name,msdyn_name,Name,Text,The name of the custom entity.,True,Simple,ApplicationRequired,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_nightstay,msdyn_nightstay,Night stay,Decimal,Number of nights in hotel for business travel accounting.,True,Simple,None,"Minimum value: -100000000000
Maximum value: 100000000000
Precision: 4",,
Business Travel,msdyn_businesstravel,msdyn_nightstayunit,msdyn_nightstayunit,Night stay unit,Lookup,Unit associated with nights stay for business travel.,True,Simple,None,"Targets:
msdyn_unit",,
Business Travel,msdyn_businesstravel,msdyn_nightstayunitname,msdyn_nightstayunitName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 100",,
Business Travel,msdyn_businesstravel,msdyn_organizationalunitid,msdyn_organizationalunitid,Organizational unit,Lookup,Unique identifier for the organizational unit associated with business travel.,True,Simple,None,"Targets:
msdyn_sustainabilityorganizationalunit",,
Business Travel,msdyn_businesstravel,msdyn_organizationalunitidname,msdyn_organizationalunitidName,N/A,Text,N/A,True,Simple,None,"Format: Text
Max length: 255",,
