TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-067913-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 04/28/2022,,,,,,,,,,,,,,,,,,,
DESIGN: 02_067913c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_067913c\worklib\02_067913c_top\bom\standoffs.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
58,2,E015386,LED SMD 0603 RED, TLMS1100-GS08,LED0603,N/A,N/A,N/A,"DS2,LED10",VISHAY, TLMS1100-GS08,REL,N/A,N/A,N/A,N/A,7004240,?,?
59,2,E005318,LED GREEN SURFACE MOUNT, SML-LXT0805GW-TR,LXT0805,N/A,N/A,N/A,"DS3,DS4",LUMEX, SML-LXT0805GW-TR,REL,A002-0004-029,40402JH149,N/A,N/A,N/A,?,?
60,2,E019012,IND FERRITE CHIP BEAD, 600OHM,L1206,25,N/A,N/A,"E1,E2",LAIRD TECHNOLOGIES, HZ1206E601R-10,REL,N/A,N/A,N/A,N/A,N/A,?,?
61,1,E012907,IND CHIP FERRITE BD, 47OHM,L0402,25,N/A,N/A,E3,MURATA MANUFACTURING, BLM15BB470SN1D,REL,N/A,N/A,N/A,1653_CAB3,7005242,?,?
62,2,E016297,IND CHIP FERRITE BEAD, 470OHM,L0402,25,N/A,N/A,"E4,E5",MURATA MANUFACTURING, BLM15GG471SN1D,REL,N/A,N/A,N/A,N/A,7005227,?,?
63,1,E044359,IND FERRITE BEAD 0.130OHM DCR 1.5A AEC-Q200, 470OHM AT 100MEGHZ,L0603,25,N/A,N/A,E6,MURATA, BLM18KG471SH1D,REL,N/A,N/A,N/A,N/A,N/A,?,?
64,2,E011145,FLTR EMI (LC COMBINED TYPE) 2606, 4700pF,F2606,-4,50V,N/A,"FL1,FL2",MURATA MANUFACTURING, NFE61PT472C1H9L,REL,N/A,40602DG050,N/A,N/A,N/A,?,?
65,1,E031034,FLTR EMI COMMON MODE 30DB 0.1A, 8OHM,FLDFN8_2_2X2_PAD0_44X0_7,N/A,N/A,N/A,FL3,ONSEMI, EMI2121MTTAG,REL,N/A,N/A,N/A,N/A,N/A,?,?
66,1,E032809,"IND SHIELDED POWER, 0.0064OHM DCR, 16.8A", 220NH,LSMSQ157H83_A,20,N/A,N/A,L1,COILCRAFT INC., XAL4020-221MEB,REL,N/A,N/A,N/A,N/A,N/A,?,?
67,1,E016651,IND SHIELDED POWER, 2.2uH,LSMSQ157H83,20,N/A,N/A,L2,COILCRAFT, XFL4020-222MEB,REL,N/A,N/A,N/A,N/A,7005021,?,?
68,1,E041578,"IND SHIELDED POWER 1.2 OHM DCR, 0.56A", 33UH,LSMSQ118H47,20,N/A,N/A,L3,COILCRAFT INC., XFL3010-333MEB,REL,N/A,N/A,N/A,N/A,N/A,?,?
69,1,E035161,"IND POWER SHIELDED, 0.035OHM DCR, 2.6A", 4.7UH,LSMSQ193H120,20,N/A,N/A,L4,TAIYO YUDEN, NRS5030T4R7MMGJV,REL,N/A,N/A,N/A,N/A,N/A,?,?
70,2,E040429,LED YELLOW 588NM AUTOMOTIVE, SML-D12W8WT86C,LED0603_A,N/A,2V,N/A,"LED1,LED2",ROHM, SML-D12W8WT86C,REL,N/A,N/A,N/A,N/A,N/A,?,?
71,1,E040424,LED GREEN 2.1V 0603, SML-D13FWT86C,LED0603-2,N/A,2.1V,N/A,LED7,ROHM, SML-D13FWT86C,REL,N/A,N/A,N/A,N/A,N/A,?,?
72,2,E027232,LED SMARTLED 591NM YELLOW, LY L296-Q2R2-26-Z,LED0603-2,N/A,2V,N/A,"LED8,LED9",OSRAM OPTO SEMICONDUCTORS, LY L296-Q2R2-26-Z,REL,N/A,N/A,N/A,N/A,7001314,?,?
