TITLE: Bill of Materials
BOM NO: 05-046277-01-d2.csv
DATE: 09/30/2019
DESIGN: 02_046277d_top
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom
CALLOUT: C:\tmp\20_046277d\worklib\02_046277d_top\bom\bom.callouts

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
64,1,E000942,"CONN-PCB BERG JMPR ST MALE 2P,1X M000385"," 69157-102",CNBERG69157-102,N/A,N/A,N/A,JP1,AMPHENOL FCI," 69157-102",NON-PREF,A011-0002-037,40313JH091,N/A,N/A,N/A,?,?
65,13,E004015,RES THICK FILM CHIP JUMPER," 0",R0201,N/A,N/A,1/20W,"JP31,JP32,JP33,JP34,R31,R314,R315,R316,R332,R613,R614,R615,R620",PANASONIC," ERJ-1GN0R00C",REL,A003-0082-001,N/A,N/A,1245_CAB3,N/A,?,?
66,3,E024365,IND SHIELDED HIGH SRF," 2.7UH",LSML133W118H79,10,N/A,N/A,"L1,L2,L5",COILCRAFT INC.," 0805PS-272KLB",REL,N/A,N/A,N/A,N/A,N/A,?,?
67,2,E011651,IND CHIP COIL 1210," 270uH",L1210,5,N/A,N/A,"L3,L4",MURATA MANUFACTURING," LQH32MN271J23L",REL,N/A,N/A,N/A,N/A,7005085,?,?
68,1,E022695,IND POWER," 3.3uH",LSML75W79H39,20,N/A,N/A,L42,COILCRAFT," XPL2010-332MLB",REL,N/A,N/A,N/A,N/A,N/A,?,?
69,1,E023029,IND SHIELDED POWER," 6.8UH",LSMSQ130H55,20,N/A,N/A,L44,COILCRAFT INC.," LPS3314-682MR",REL,N/A,N/A,N/A,N/A,N/A,?,?
70,1,E022692,IND SHIELDED POWER," 15uH",LSMSQ154H71,20,N/A,N/A,L45,COILCRAFT," LPS4018-153MRB",REL,N/A,N/A,N/A,N/A,N/A,?,?
71,2,E017267,IND SHIELDED POWER," 1.5uH",LSMSQ157H83,20,N/A,N/A,"L6,L7",COILCRAFT," XFL4020-152MEB",REL,N/A,N/A,N/A,N/A,7004793,?,?
72,4,E021551,IND CHIP," 7.4nH",L0302CS,5,N/A,N/A,"L61,L62,L63,L64",COILCRAFT," 0302CS-7N4XJLU",REL,N/A,N/A,N/A,N/A,N/A,?,?
73,1,E011384,CONN-PCB SGNL-END ARRAY MALE 400POS (FMC_HPC)," ASP-134488-01",CNSAMTECASP-134488-01,N/A,N/A,N/A,P1,SAMTEC," ASP-134488-01",NON-PREF,ADD TO STOCK,NA,NA,1690_CAB3,6001851,?,?
74,1,E005952,CONN-PCB HEADER 3 POS," 22-28-4033",CNMOLEX22-28-4033,N/A,N/A,N/A,P2,MOLEX," 22-28-4033",REL,N/A,N/A,N/A,N/A,6002173,?,?
75,4,E015819,TRAN DUAL N-CHA 20V (D-S) MOSFET WITH 2 PAD," SIA906EDJ-T1-GE3",POWERPAKSC70-6,N/A,20V,N/A,"Q1,Q2,Q3,Q4",VISHAY," SIA906EDJ-T1-GE3",REL,ADD_TO_STOCK,N/A,N/A,N/A,1005731,?,?
76,2,E003796,RES PRECISION THICK FILM CHIP," 100K",R0402,1,N/A,1/16W,"R1,R15",PANASONIC," ERJ-2RKF1003X",REL,A003-0035-053,41816DG575,N/A,1422_CAB3,N/A,?,?
